Parameters: V_min=100, V_max=1000, V_step=10 | R_min=200, R_max=1500, R_step=50 | qT=1, kappa=0.9, R_ext=500, cT=0.18, i0=0, tc=30, lam=0.12, tmax=600, dt=5e-05, (Increasing V_ext)
V_ext,R_ext,burst_freq,avg_ibi,intra_burst_freq,x_min,x_max,x_f,T'_f,V_f,V'_f
240,250,0.00166666666698554,0,3.27618410007767,-0.999929105641932,0.751520121821511,0.728877692934018,-39.2674348599537,110.740349088863,282.656050289497
250,250,0.00166666666698554,0,3.44433382471996,-1.00083020480442,0.761782783220707,-0.738211035998284,69.1586333248303,113.604596955254,246.77335919971
260,250,0.00333333333397108,86.3140500023036,3.70218790621984,-1.00161584917619,0.768524862567826,-0.692994785296048,78.0648649426502,132.858012422001,-312.126778157688
270,250,0.00333333333397108,68.9200500017261,3.87925732710444,-1.00217393511108,0.77521003299198,-0.74934609046266,89.1524873546442,148.112154757112,-55.1317472111712
280,250,0.00333333333397108,85.0471500022615,3.93492524564034,-1.00282246859754,0.794264907747785,1.00666815060632,-38.1273347750363,251.416802629996,213.877761107569
290,250,0,0,0,1.0066681508057,1.007094310415,1.00710377008847,-40.8153617919414,260.492334821422,220.877005841705
300,250,0,0,0,1.00710377028599,1.00751678483501,1.00752594778405,-43.5915903825426,269.571158899172,227.853808834178
310,250,0,0,0,1.00752594797975,1.00792668693025,1.00793557269465,-46.4557838568436,278.653178812554,234.808883862893
320,250,0,0,0,1.00793557288861,1.00832481992524,1.00833344614863,-49.4077134658613,287.738301476878,241.742848867008
330,250,0,0,0,1.0083334463409,1.00871191040994,1.00872029307866,-52.4471564364047,296.826439270905,248.656285841288
340,250,0,0,0,1.0087202932693,1.00908861787716,1.00909677152273,-55.5738956417847,305.917509559817,255.549743961452
350,250,0,0,0,1.00909677171181,1.00945554281463,1.00946348068606,-58.7877193006095,315.011434272315,262.423742353991
360,250,0,0,0,1.00946348087365,1.00981323360722,1.00982096781848,-62.0884206999211,324.108139524399,269.278772569419
370,250,0,0,0,1.00982096800466,1.01016219245418,1.01016973411096,-65.4757979414511,333.207555283593,276.115300773481
380,250,0,0,0,1.01016973429579,1.01050288046549,1.01051023977473,-68.949653706275,342.309615068355,282.933769725814
390,250,0,0,0,1.01051023995828,1.01083572207109,1.0108429084359,-72.5097950383988,351.414255678175,289.734600549001
400,250,0,0,0,1.01084290861826,1.01116110885115,1.01116813095358,-76.1560331433766,360.521416950554,296.518194323489
410,250,0,0,0,1.01116813113482,1.01147940287688,1.01148626875018,-79.8881832016537,369.631041541611,303.284933527915
420,250,0,0,0,1.0114862689304,1.01179093963506,1.01179765672713,-83.7060641948006,378.743074727499,310.035183343138
430,250,0,0,0,1.0117976569064,1.01209603059722,1.01210260582645,-87.6094987435015,387.857464224231,316.769292835755
440,250,0,0,0,1.01210260600487,1.01239496548435,1.01240140528892,-91.5983129562327,396.974160023829,323.487596034747
450,250,0,0,0,1.01240140546656,1.01268801426932,1.0126943246509,-95.6723362876783,406.093114244971,330.190412913057
460,250,0,0,0,1.01269432482787,1.01297542895299,1.01298161551556,-99.8314014060425,415.214280996588,336.878050284434
470,250,0,0,0,1.01298161569195,1.01325744514394,1.01326351312836,-104.075344068503,424.337616253006,343.550802624493
480,250,0,0,0,1.01326351330426,1.01353428346744,1.01354023778232,-108.404003004132,433.463077739461,350.208952823891
490,250,0,0,0,1.01354023795784,1.01380615082541,1.01381199607482,-112.817219803684,442.590624826899,356.852772880502
500,250,0,0,0,1.01381199625006,1.01407324152597,1.01407898203424,-117.3148388157,451.720218435162,363.482524536693
510,250,0,0,0,1.01407898220931,1.01433573829847,1.01434137813254,-121.896707048448,460.851820943717,370.098459867057
520,250,0,0,0,1.01434137830755,1.01459381320763,1.01459935619723,-126.562674077248,469.985396109215,376.700821821356
530,250,0,0,0,1.01459935637228,1.01484762847882,1.01485307823465,-131.312591956942,479.12090898923,383.289844726884
540,250,0,0,0,1.01485307840985,1.01509733724441,1.01510269717463,-136.146315138216,488.258325871606,389.86575475402
550,250,0,0,0,1.01510269735011,1.01534308422038,1.0153483575456,-141.063700389765,497.397614208914,396.42877034825
560,250,0,0,0,1.01534835772147,1.01558500632067,1.01559019608754,-146.0646067229,506.538742557548,402.979102631716
570,250,0,0,0,1.01559019626391,1.01582323321617,1.01582834230936,-151.148895311929,515.68168050564,409.516955766947
580,250,0,0,0,1.01582834248637,1.01605788784421,1.01606291899894,-156.316429461349,524.826398681926,416.042527344923
590,250,0,0,0,1.01606291917671,1.01628908687377,1.01629404268489,-161.567074489557,533.972868614026,422.556008650228
600,250,0,0,0,1.01629404286355,1.01651694113086,1.01652182406274,-166.900697702026,543.121062744095,429.057585004484
610,250,0,0,0,1.01652182424242,1.01674155598823,1.01674636838341,-172.317168324251,552.270954370403,435.547436040308
620,250,0,0,0,1.01674636856426,1.01696303172292,1.01696777581009,-177.816357445928,561.422517607071,442.025735967194
